id,nome comum,nome cientfico,município,código municipio,data do registro
2,beija-flor-rubi,Heliodoxa rubricauda,Itatiaia/RJ,3302254,2008-06-15
3,quiriquiri,Falco sparverius,Juiz de Fora/MG,3136702,2005-07-16
7,quiriquiri,Falco sparverius,Juiz de Fora/MG,3136702,2005-09-07
8,coruja-orelhuda,Asio clamator,Juiz de Fora/MG,3136702,2005-07-19
9,azulão,Cyanoloxia brissonii,Juiz de Fora/MG,3136702,2005-12-28
10,surucuá-variado,Trogon surrucura,Itatiaia/RJ,3302254,2006-06-08
11,bico-de-pimenta,Saltator fuliginosus,Itatiaia/RJ,3302254,2006-06-08
12,topetinho-vermelho,Lophornis magnificus,Itatiaia/RJ,3302254,2006-06-08
13,cigarra-bambu,Haplospiza unicolor,Itatiaia/RJ,3302254,2006-06-08
16,picapauzinho-barrado,Picumnus cirratus,Juiz de Fora/MG,3136702,2005-06-11
17,baiano,Sporophila nigricollis,Betim/MG,3106705,2008-12-13
18,sabiá-laranjeira,Turdus rufiventris,Juiz de Fora/MG,3136702,2008-10-10
19,fim-fim,Euphonia chlorotica,Juiz de Fora/MG,3136702,2008-05-10
